,Year,State,Population,Deaths Per 100k,City,# Killed,# Injured,# Victims,Gun Law Rank,Safety Grade,Incident Date
78,2014,Georgia,10067278,15.72,Macon,0,5,5,32,F,9/6/2014
79,2014,Michigan,9929848,12.82,Flint,0,5,5,19,C,9/4/2014
80,2014,California,38596972,7.45,Los Angeles,0,6,6,1,A,9/3/2014
81,2014,California,38596972,7.45,Highland,0,5,5,1,A,9/2/2014
82,2014,Mississippi,2990468,22.81,Jackson,2,3,5,50,F,9/2/2014
83,2014,California,38596972,7.45,Livermore,0,5,5,1,A,8/31/2014
84,2014,Florida,19845911,12.81,Brooksville,3,1,4,22,C,8/29/2014
85,2014,Michigan,9929848,12.82,Detroit,1,3,4,19,C,8/27/2014
86,2014,Georgia,10067278,15.72,Augusta,1,3,4,32,F,8/24/2014
87,2014,California,38596972,7.45,San Fernando,3,4,7,1,A,8/24/2014
88,2014,Illinois,12884493,10.78,Chicago,1,3,4,8,A,8/24/2014
89,2014,Tennessee,6541223,17.82,Memphis,0,5,5,29,D,8/20/2014
90,2014,Louisiana,4644013,21.31,Saint Martinville,0,4,4,32,F,8/18/2014
91,2014,Massachusetts,6762596,3.46,Boston,0,4,4,7,A,8/17/2014
92,2014,California,38596972,7.45,East Palo Alto,1,3,4,1,A,8/17/2014
93,2014,Nevada,2817628,17.84,Las Vegas,0,4,4,15,C,8/17/2014
94,2014,New York,19651049,4.03,Queens,0,4,4,4,A,8/17/2014
95,2014,New Jersey,8864525,4.75,Plainfield,1,3,4,2,A,8/16/2014
96,2014,Utah,2936879,13.14,Salt Lake City,0,6,6,27,D,8/16/2014
97,2014,Tennessee,6541223,17.82,Memphis,1,3,4,29,D,8/14/2014
98,2014,Tennessee,6541223,17.82,Clarksville,0,4,4,29,D,8/13/2014
99,2014,Louisiana,4644013,21.31,New Orleans,0,4,4,32,F,8/13/2014
100,2014,New York,19651049,4.03,Buffalo,1,3,4,4,A,8/12/2014
101,2014,Georgia,10067278,15.72,Cartersville,2,3,5,32,F,8/12/2014
102,2014,Louisiana,4644013,21.31,New Orleans,2,5,7,32,F,8/10/2014
103,2014,District of Columbia,662328,,Washington,0,6,6,,,8/10/2014
104,2014,Georgia,10067278,15.72,Wrightsville,0,6,6,32,F,8/10/2014
105,2014,California,38596972,7.45,Moreno Valley,0,7,7,1,A,8/10/2014
106,2014,Minnesota,5451079,7.79,Minneapolis,1,8,9,13,C,8/9/2014
107,2014,District of Columbia,662328,,Washington,0,4,4,,,8/8/2014
108,2014,Wisconsin,5751525,10.13,Milwaukee,0,4,4,21,C,8/8/2014
109,2014,New Mexico,2089568,20.75,Albuquerque,1,3,4,17,C,8/8/2014
110,2014,California,38596972,7.45,Bakersfield,3,1,4,1,A,8/6/2014
111,2014,Georgia,10067278,15.72,Atlanta,0,5,5,32,F,8/4/2014
112,2014,Virginia,8310993,11.76,Culpeper,5,0,5,26,D,8/3/2014
113,2014,Texas,26964333,12.22,Humble,0,7,7,34,F,8/3/2014
