,Year,State,Population,Deaths Per 100k,City,# Killed,# Injured,# Victims,Gun Law Rank,Safety Grade,Incident Date
836,2021,Maryland,6065436,11.61,Capitol Heights,0,4,4,6,A,12/31/2021
837,2021,Mississippi,2966407,22.81,Gulfport,4,3,7,50,F,12/31/2021
838,2021,California,39613493,7.45,Los Angeles,0,6,6,1,A,12/31/2021
839,2021,Pennsylvania,12804123,12.47,Philadelphia,0,7,7,12,C,12/30/2021
840,2021,Missouri,6169038,21.34,Kirksville,3,1,4,46,F,12/30/2021
841,2021,Colorado,5893634,15.14,Denver,6,2,8,14,C,12/27/2021
842,2021,Ohio,11714618,13.05,Youngstown,1,3,4,24,D,12/27/2021
843,2021,Alabama,4934193,21.7,Mobile,1,3,4,38,F,12/27/2021
844,2021,Virginia,8603985,11.76,Clear Brook,1,4,5,26,D,12/26/2021
845,2021,Texas,29730311,12.22,Garland,3,1,4,34,F,12/26/2021
846,2021,New York,19299981,4.03,Buffalo,0,4,4,4,A,12/26/2021
847,2021,Mississippi,2966407,22.81,Fayette,1,6,7,50,F,12/26/2021
848,2021,Pennsylvania,12804123,12.47,Philadelphia,0,4,4,12,C,12/26/2021
849,2021,Louisiana,4627002,21.31,Lafayette,0,4,4,32,F,12/25/2021
850,2021,Georgia,10830007,15.72,Roswell,1,3,4,32,F,12/24/2021
851,2021,Pennsylvania,12804123,12.47,Pittsburgh,0,6,6,12,C,12/24/2021
852,2021,New York,19299981,4.03,Brooklyn,0,4,4,4,A,12/24/2021
853,2021,Illinois,12569321,10.78,Lovejoy (Brooklyn),1,3,4,8,A,12/19/2021
854,2021,Maryland,6065436,11.61,Baltimore,1,4,5,6,A,12/17/2021
855,2021,Virginia,8603985,11.76,Portsmouth,0,4,4,26,D,12/17/2021
856,2021,Maryland,6065436,11.61,Baltimore,1,3,4,6,A,12/17/2021
857,2021,California,39613493,7.45,Fresno,0,4,4,1,A,12/13/2021
858,2021,Pennsylvania,12804123,12.47,Philadelphia,0,4,4,12,C,12/13/2021
859,2021,North Carolina,10701022,13.26,Durham,2,4,6,24,D,12/13/2021
860,2021,Mississippi,2966407,22.81,Bolton,0,6,6,50,F,12/12/2021
861,2021,Florida,21944577,12.81,Tampa,0,5,5,22,C,12/12/2021
862,2021,Texas,29730311,12.22,Baytown,1,13,14,34,F,12/12/2021
863,2021,Virginia,8603985,11.76,Woodbridge,0,4,4,26,D,12/12/2021
864,2021,Illinois,12569321,10.78,River Grove,1,3,4,8,A,12/11/2021
865,2021,Michigan,9992427,12.82,Lansing,1,3,4,19,C,12/10/2021
866,2021,Florida,21944577,12.81,Orlando,0,5,5,22,C,12/10/2021
867,2021,North Carolina,10701022,13.26,Charlotte,0,5,5,24,D,12/10/2021
868,2021,Maryland,6065436,11.61,Capitol Heights,0,4,4,6,A,12/9/2021
869,2021,Wisconsin,5852490,10.13,Beloit,1,5,6,21,C,12/9/2021
870,2021,Pennsylvania,12804123,12.47,Philadelphia,0,4,4,12,C,12/6/2021
871,2021,Michigan,9992427,12.82,Detroit,2,2,4,19,C,12/5/2021
872,2021,Texas,29730311,12.22,El Paso,1,3,4,34,F,12/5/2021
873,2021,Tennessee,6944260,17.82,Memphis,2,2,4,29,D,12/3/2021
874,2021,North Carolina,10701022,13.26,Elizabeth City,3,3,6,24,D,12/2/2021
875,2021,Michigan,9992427,12.82,Oxford,4,7,11,19,C,11/30/2021
876,2021,Georgia,10830007,15.72,Rex,4,2,6,32,F,11/30/2021
877,2021,Maryland,6065436,11.61,Baltimore,0,7,7,6,A,11/28/2021
878,2021,Illinois,12569321,10.78,Evanston,1,4,5,8,A,11/28/2021
879,2021,California,39613493,7.45,Lancaster,5,0,5,1,A,11/28/2021
880,2021,Colorado,5893634,15.14,Aurora,0,5,5,14,C,11/28/2021
881,2021,Pennsylvania,12804123,12.47,Philadelphia,0,4,4,12,C,11/28/2021
882,2021,New Jersey,8874520,4.75,Newark,1,3,4,2,A,11/27/2021
883,2021,Tennessee,6944260,17.82,Nashville,3,4,7,29,D,11/26/2021
884,2021,Texas,29730311,12.22,San Antonio,2,2,4,34,F,11/25/2021
885,2021,South Carolina,5277830,17.51,Green Sea,0,4,4,31,F,11/25/2021
886,2021,Florida,21944577,12.81,Lehigh Acres,0,4,4,22,C,11/23/2021
887,2021,Texas,29730311,12.22,Marshall,1,3,4,34,F,11/23/2021
888,2021,North Carolina,10701022,13.26,Warsaw,2,2,4,24,D,11/22/2021
889,2021,New Jersey,8874520,4.75,Passaic,0,5,5,2,A,11/21/2021
890,2021,Louisiana,4627002,21.31,Baton Rouge,1,4,5,32,F,11/21/2021
891,2021,California,39613493,7.45,Fresno,2,2,4,1,A,11/20/2021
892,2021,Illinois,12569321,10.78,Berwyn,0,4,4,8,A,11/20/2021
893,2021,Maryland,6065436,11.61,Cambridge,1,3,4,6,A,11/18/2021
894,2021,Illinois,12569321,10.78,East Saint Louis,1,3,4,8,A,11/17/2021
895,2021,New York,19299981,4.03,Newburgh,0,4,4,4,A,11/17/2021
896,2021,New York,19299981,4.03,Bronx,1,3,4,4,A,11/17/2021
897,2021,Illinois,12569321,10.78,Chicago,0,4,4,8,A,11/17/2021
898,2021,New York,19299981,4.03,New York (Manhattan),0,4,4,4,A,11/15/2021
899,2021,Colorado,5893634,15.14,Aurora,0,6,6,14,C,11/15/2021
900,2021,Pennsylvania,12804123,12.47,Philadelphia,0,6,6,12,C,11/14/2021
901,2021,Missouri,6169038,21.34,Columbia,1,5,6,46,F,11/14/2021
902,2021,Oregon,4289439,11.68,Chiloquin,2,2,4,15,C,11/14/2021
903,2021,Arizona,7520103,15.29,Tucson,4,1,5,45,F,11/14/2021
904,2021,Alabama,4934193,21.7,Troy,1,5,6,38,F,11/14/2021
905,2021,North Carolina,10701022,13.26,Winston Salem (Winston-salem),0,4,4,24,D,11/13/2021
906,2021,Louisiana,4627002,21.31,Houma,0,4,4,32,F,11/13/2021
907,2021,Virginia,8603985,11.76,Richmond,2,2,4,26,D,11/12/2021
908,2021,Alabama,4934193,21.7,Birmingham,2,2,4,38,F,11/12/2021
909,2021,New York,19299981,4.03,Rochester,0,4,4,4,A,11/9/2021
910,2021,Louisiana,4627002,21.31,Hahnville (Killona),1,4,5,32,F,11/9/2021
911,2021,South Dakota,896581,13.5,Scotland,3,2,5,44,F,11/9/2021
912,2021,Texas,29730311,12.22,Victoria,3,1,4,34,F,11/8/2021
913,2021,Pennsylvania,12804123,12.47,Philadelphia,0,4,4,12,C,11/8/2021
914,2021,Wisconsin,5852490,10.13,Kenosha,1,3,4,21,C,11/7/2021
915,2021,California,39613493,7.45,Oakley,2,2,4,1,A,11/6/2021
916,2021,Texas,29730311,12.22,Marshall,0,6,6,34,F,11/6/2021
917,2021,California,39613493,7.45,Highland,0,4,4,1,A,11/6/2021
918,2021,California,39613493,7.45,Oakland,1,3,4,1,A,11/5/2021
919,2021,Iowa,3167974,8.62,Des Moines,0,4,4,19,C,11/3/2021
920,2021,Virginia,8603985,11.76,Norfolk,3,2,5,26,D,11/3/2021
921,2021,Alabama,4934193,21.7,Mobile,0,4,4,38,F,11/2/2021
922,2021,Florida,21944577,12.81,Orlando,0,4,4,22,C,11/1/2021
923,2021,Texas,29730311,12.22,San Antonio,0,4,4,34,F,11/1/2021
924,2021,Kentucky,4480713,16.81,Louisville,2,2,4,46,F,10/31/2021
925,2021,Colorado,5893634,15.14,Littleton (Lakewood),2,2,4,14,C,10/31/2021
926,2021,Illinois,12569321,10.78,Flossmoor,1,3,4,8,A,10/31/2021
927,2021,Texas,29730311,12.22,Houston,1,3,4,34,F,10/31/2021
928,2021,Illinois,12569321,10.78,Joliet,2,12,14,8,A,10/31/2021
929,2021,Texas,29730311,12.22,Fort Worth,1,3,4,34,F,10/31/2021
930,2021,California,39613493,7.45,Gilroy,1,3,4,1,A,10/30/2021
931,2021,Illinois,12569321,10.78,Decatur,0,4,4,8,A,10/30/2021
932,2021,Oklahoma,3990443,16.71,Oklahoma City,0,4,4,40,F,10/30/2021
933,2021,California,39613493,7.45,Sacramento,2,5,7,1,A,10/30/2021
934,2021,Florida,21944577,12.81,Saint Petersburg,1,4,5,22,C,10/30/2021
935,2021,Texas,29730311,12.22,Texarkana,1,9,10,34,F,10/30/2021
936,2021,New York,19299981,4.03,Poughkeepsie,0,5,5,4,A,10/29/2021
937,2021,Michigan,9992427,12.82,Kalamazoo,0,4,4,19,C,10/29/2021
938,2021,Nevada,3185786,17.84,Las Vegas,0,4,4,15,C,10/28/2021
939,2021,Tennessee,6944260,17.82,Nashville,1,3,4,29,D,10/28/2021
940,2021,Idaho,1860123,16.61,Boise,3,3,6,48,F,10/25/2021
941,2021,California,39613493,7.45,Gonzales,2,2,4,1,A,10/24/2021
942,2021,Mississippi,2966407,22.81,Crenshaw,2,3,5,50,F,10/24/2021
943,2021,South Carolina,5277830,17.51,Florence,0,6,6,31,F,10/23/2021
944,2021,California,39613493,7.45,Ontario,1,4,5,1,A,10/23/2021
945,2021,Georgia,10830007,15.72,Fort Valley,1,7,8,32,F,10/23/2021
946,2021,Illinois,12569321,10.78,Chicago,0,5,5,8,A,10/22/2021
947,2021,Washington,7796941,10.32,Renton,0,4,4,10,B,10/22/2021
948,2021,Maryland,6065436,11.61,Baltimore,0,7,7,6,A,10/22/2021
949,2021,New York,19299981,4.03,Brooklyn,0,4,4,4,A,10/21/2021
950,2021,Washington,7796941,10.32,Tacoma,4,0,4,10,B,10/21/2021
951,2021,Michigan,9992427,12.82,Farwell,4,0,4,19,C,10/20/2021
952,2021,Wisconsin,5852490,10.13,Kenosha,3,2,5,21,C,10/19/2021
953,2021,Louisiana,4627002,21.31,Grambling,1,7,8,32,F,10/17/2021
954,2021,Missouri,6169038,21.34,Saint Louis,1,3,4,46,F,10/17/2021
955,2021,Texas,29730311,12.22,Houston,0,7,7,34,F,10/17/2021
956,2021,Colorado,5893634,15.14,Colorado Springs,0,5,5,14,C,10/17/2021
957,2021,Wisconsin,5852490,10.13,Racine,0,6,6,21,C,10/17/2021
958,2021,Arkansas,3033946,18.96,Pine Bluff,1,9,10,40,F,10/17/2021
959,2021,Arkansas,3033946,18.96,Pine Bluff,1,3,4,40,F,10/17/2021
960,2021,Mississippi,2966407,22.81,Jackson,3,3,6,50,F,10/17/2021
961,2021,Texas,29730311,12.22,Killeen,1,3,4,34,F,10/16/2021
962,2021,Alabama,4934193,21.7,Mobile,0,5,5,38,F,10/15/2021
963,2021,Minnesota,5706398,7.79,Minneapolis,1,4,5,13,C,10/14/2021
964,2021,Mississippi,2966407,22.81,Mccomb,0,6,6,50,F,10/14/2021
965,2021,Florida,21944577,12.81,Naples,1,5,6,22,C,10/12/2021
966,2021,Mississippi,2966407,22.81,Meridian,3,1,4,50,F,10/12/2021
967,2021,Georgia,10830007,15.72,South Fulton,0,6,6,32,F,10/11/2021
968,2021,Minnesota,5706398,7.79,Saint Paul,1,15,16,13,C,10/10/2021
969,2021,South Carolina,5277830,17.51,Mc Coll (Mccoll),2,3,5,31,F,10/10/2021
970,2021,Iowa,3167974,8.62,Sioux City,0,4,4,19,C,10/10/2021
971,2021,Illinois,12569321,10.78,Chicago,1,4,5,8,A,10/10/2021
972,2021,Delaware,990334,11.55,Dover,1,4,5,11,B,10/10/2021
973,2021,Louisiana,4627002,21.31,Livingston,2,4,6,32,F,10/9/2021
974,2021,Texas,29730311,12.22,Dallas,0,4,4,34,F,10/9/2021
975,2021,New York,19299981,4.03,Albany,1,6,7,4,A,10/9/2021
976,2021,Colorado,5893634,15.14,Denver,1,3,4,14,C,10/9/2021
977,2021,Maryland,6065436,11.61,Baltimore,0,4,4,6,A,10/8/2021
978,2021,District of Columbia,714153,,Washington,1,3,4,,,10/8/2021
979,2021,Alabama,4934193,21.7,Montgomery,1,3,4,38,F,10/8/2021
980,2021,Wisconsin,5852490,10.13,Milwaukee,3,1,4,21,C,10/7/2021
981,2021,Illinois,12569321,10.78,Chicago,0,4,4,8,A,10/7/2021
982,2021,Wisconsin,5852490,10.13,Milwaukee,0,5,5,21,C,10/7/2021
983,2021,Louisiana,4627002,21.31,New Orleans,1,4,5,32,F,10/7/2021
984,2021,Maryland,6065436,11.61,Baltimore,1,5,6,6,A,10/6/2021
985,2021,Louisiana,4627002,21.31,New Orleans,2,2,4,32,F,10/6/2021
986,2021,Ohio,11714618,13.05,Cleveland,0,4,4,24,D,10/6/2021
987,2021,Ohio,11714618,13.05,Cleveland,0,4,4,24,D,10/6/2021
988,2021,Illinois,12569321,10.78,Rockford,1,3,4,8,A,10/5/2021
989,2021,Minnesota,5706398,7.79,Saint Paul,0,4,4,13,C,10/5/2021
990,2021,Minnesota,5706398,7.79,Minneapolis,0,4,4,13,C,10/4/2021
991,2021,South Carolina,5277830,17.51,Bishopville,1,4,5,31,F,10/3/2021
992,2021,Texas,29730311,12.22,San Antonio,1,3,4,34,F,10/2/2021
993,2021,Colorado,5893634,15.14,Aurora,1,3,4,14,C,10/2/2021
994,2021,District of Columbia,714153,,Washington,1,5,6,,,10/1/2021
995,2021,Iowa,3167974,8.62,Cedar Rapids,0,6,6,19,C,10/1/2021
996,2021,Illinois,12569321,10.78,Chicago,0,5,5,8,A,9/29/2021
997,2021,Minnesota,5706398,7.79,Minneapolis,1,3,4,13,C,9/28/2021
998,2021,Illinois,12569321,10.78,Chicago,1,3,4,8,A,9/28/2021
999,2021,New York,19299981,4.03,New York (Manhattan),0,5,5,4,A,9/27/2021
1000,2021,Illinois,12569321,10.78,Chicago,1,3,4,8,A,9/27/2021
1001,2021,Illinois,12569321,10.78,Chicago,0,6,6,8,A,9/26/2021
1002,2021,California,39613493,7.45,Oakland,0,4,4,1,A,9/26/2021
1003,2021,Washington,7796941,10.32,Seattle (Des Moines),3,3,6,10,B,9/26/2021
1004,2021,New York,19299981,4.03,Utica,0,4,4,4,A,9/25/2021
1005,2021,Tennessee,6944260,17.82,Athens,4,1,5,29,D,9/25/2021
1006,2021,Tennessee,6944260,17.82,Chattanooga,2,5,7,29,D,9/25/2021
1007,2021,California,39613493,7.45,Riverside,0,6,6,1,A,9/25/2021
1008,2021,South Carolina,5277830,17.51,Aiken,4,1,5,31,F,9/24/2021
1009,2021,California,39613493,7.45,Los Angeles,0,4,4,1,A,9/24/2021
1010,2021,Tennessee,6944260,17.82,Collierville,2,14,16,29,D,9/23/2021
1011,2021,Pennsylvania,12804123,12.47,Philadelphia,0,4,4,12,C,9/23/2021
1012,2021,North Carolina,10701022,13.26,Fayetteville,2,2,4,24,D,9/22/2021
1013,2021,District of Columbia,714153,,Washington,0,5,5,,,9/21/2021
1014,2021,Pennsylvania,12804123,12.47,Philadelphia,1,5,6,12,C,9/20/2021
1015,2021,Missouri,6169038,21.34,Saint Louis,1,3,4,46,F,9/20/2021
1016,2021,New York,19299981,4.03,Rochester,2,2,4,4,A,9/19/2021
1017,2021,Florida,21944577,12.81,Miami,0,4,4,22,C,9/19/2021
1018,2021,California,39613493,7.45,Oakland,1,3,4,1,A,9/19/2021
1019,2021,Texas,29730311,12.22,Dallas,2,4,6,34,F,9/19/2021
1020,2021,Illinois,12569321,10.78,Chicago,0,5,5,8,A,9/19/2021
1021,2021,South Carolina,5277830,17.51,Yemassee,1,7,8,31,F,9/19/2021
1022,2021,New York,19299981,4.03,Bronx,1,3,4,4,A,9/18/2021
1023,2021,Illinois,12569321,10.78,Danville,2,2,4,8,A,9/18/2021
1024,2021,Louisiana,4627002,21.31,Opelousas,0,5,5,32,F,9/18/2021
1025,2021,Georgia,10830007,15.72,Augusta,0,4,4,32,F,9/17/2021
1026,2021,Maryland,6065436,11.61,Baltimore,0,4,4,6,A,9/14/2021
1027,2021,Ohio,11714618,13.05,Cleveland,0,6,6,24,D,9/14/2021
1028,2021,Wisconsin,5852490,10.13,Milwaukee,0,5,5,21,C,9/13/2021
1029,2021,Minnesota,5706398,7.79,Saint Paul,4,0,4,13,C,9/12/2021
1030,2021,Texas,29730311,12.22,Temple,0,4,4,34,F,9/12/2021
1031,2021,Illinois,12569321,10.78,Blue Island,2,2,4,8,A,9/12/2021
1032,2021,Michigan,9992427,12.82,Detroit,2,4,6,19,C,9/12/2021
1033,2021,Illinois,12569321,10.78,Chicago,1,5,6,8,A,9/11/2021
1034,2021,Alabama,4934193,21.7,Dothan,0,5,5,38,F,9/11/2021
1035,2021,New York,19299981,4.03,Utica,1,3,4,4,A,9/11/2021
1036,2021,Illinois,12569321,10.78,Chicago,1,3,4,8,A,9/11/2021
1037,2021,New Jersey,8874520,4.75,Paterson,0,4,4,2,A,9/11/2021
1038,2021,Florida,21944577,12.81,Orlando,0,4,4,22,C,9/10/2021
1039,2021,Illinois,12569321,10.78,East Saint Louis,0,7,7,8,A,9/9/2021
1040,2021,Alabama,4934193,21.7,Montgomery,1,3,4,38,F,9/9/2021
1041,2021,Missouri,6169038,21.34,Saint Louis,0,4,4,46,F,9/8/2021
1042,2021,Delaware,990334,11.55,Wilmington,0,4,4,11,B,9/7/2021
1043,2021,Kansas,2917224,14.65,Wichita,1,5,6,43,F,9/7/2021
1044,2021,Georgia,10830007,15.72,Atlanta,0,5,5,32,F,9/6/2021
1045,2021,Missouri,6169038,21.34,Independence,0,4,4,46,F,9/5/2021
1046,2021,New York,19299981,4.03,Bronx,0,4,4,4,A,9/5/2021
1047,2021,Missouri,6169038,21.34,Wyatt,0,4,4,46,F,9/5/2021
1048,2021,Texas,29730311,12.22,Houston,4,0,4,34,F,9/5/2021
1049,2021,Georgia,10830007,15.72,Athens,0,6,6,32,F,9/5/2021
1050,2021,Florida,21944577,12.81,Lakeland,4,2,6,22,C,9/5/2021
1051,2021,Ohio,11714618,13.05,Cincinnati,0,4,4,24,D,9/5/2021
1052,2021,Louisiana,4627002,21.31,Monroe,1,3,4,32,F,9/4/2021
1053,2021,District of Columbia,714153,,Washington,3,3,6,,,9/4/2021
1054,2021,Alabama,4934193,21.7,Birmingham,2,2,4,38,F,9/4/2021
1055,2021,Georgia,10830007,15.72,Warner Robins,1,4,5,32,F,9/4/2021
1056,2021,Pennsylvania,12804123,12.47,Pittsburgh,0,4,4,12,C,9/4/2021
1057,2021,Illinois,12569321,10.78,Chicago,0,5,5,8,A,9/4/2021
1058,2021,Texas,29730311,12.22,Austin,1,3,4,34,F,9/3/2021
1059,2021,New York,19299981,4.03,Syracuse,0,4,4,4,A,9/3/2021
1060,2021,Louisiana,4627002,21.31,New Iberia,1,3,4,32,F,9/3/2021
1061,2021,New York,19299981,4.03,Niagara Falls,0,4,4,4,A,9/2/2021
1062,2021,North Carolina,10701022,13.26,Elm City,2,2,4,24,D,8/31/2021
1063,2021,Illinois,12569321,10.78,Normal,3,3,6,8,A,8/30/2021
1064,2021,Tennessee,6944260,17.82,Nashville,0,5,5,29,D,8/29/2021
1065,2021,Nevada,3185786,17.84,Las Vegas,1,3,4,15,C,8/29/2021
1066,2021,Wisconsin,5852490,10.13,Milwaukee,0,4,4,21,C,8/29/2021
1067,2021,New York,19299981,4.03,Albany,0,5,5,4,A,8/28/2021
1068,2021,California,39613493,7.45,San Diego,0,4,4,1,A,8/28/2021
1069,2021,Illinois,12569321,10.78,Chicago,0,4,4,8,A,8/28/2021
1070,2021,California,39613493,7.45,Los Angeles,0,4,4,1,A,8/27/2021
1071,2021,West Virginia,1767859,18.11,Huntington,2,2,4,34,F,8/27/2021
1072,2021,Pennsylvania,12804123,12.47,Sharon Hill,1,4,5,12,C,8/27/2021
1073,2021,Minnesota,5706398,7.79,Minneapolis,0,7,7,13,C,8/26/2021
1074,2021,Illinois,12569321,10.78,Chicago,0,4,4,8,A,8/23/2021
1075,2021,Illinois,12569321,10.78,Chicago,1,4,5,8,A,8/22/2021
1076,2021,Oregon,4289439,11.68,Portland,0,5,5,15,C,8/22/2021
1077,2021,Illinois,12569321,10.78,Carbondale,1,3,4,8,A,8/22/2021
1078,2021,Colorado,5893634,15.14,Denver,1,5,6,14,C,8/22/2021
1079,2021,Michigan,9992427,12.82,Grand Rapids,1,3,4,19,C,8/22/2021
1080,2021,Illinois,12569321,10.78,Chicago,0,4,4,8,A,8/21/2021
1081,2021,Illinois,12569321,10.78,Chicago,1,5,6,8,A,8/21/2021
1082,2021,Michigan,9992427,12.82,Flint,1,3,4,19,C,8/20/2021
1083,2021,Illinois,12569321,10.78,Chicago,0,4,4,8,A,8/19/2021
1084,2021,Pennsylvania,12804123,12.47,Philadelphia,1,4,5,12,C,8/19/2021
1085,2021,Maryland,6065436,11.61,Edgewood,1,3,4,6,A,8/19/2021
1086,2021,Maryland,6065436,11.61,Germantown,1,3,4,6,A,8/18/2021
1087,2021,North Carolina,10701022,13.26,Durham,1,3,4,24,D,8/18/2021
1088,2021,Ohio,11714618,13.05,Youngstown,2,4,6,24,D,8/18/2021
1089,2021,California,39613493,7.45,Los Angeles,0,4,4,1,A,8/18/2021
1090,2021,New York,19299981,4.03,Brooklyn,0,5,5,4,A,8/17/2021
1091,2021,New York,19299981,4.03,Brooklyn,0,8,8,4,A,8/16/2021
1092,2021,Michigan,9992427,12.82,Detroit,1,3,4,19,C,8/16/2021
1093,2021,Texas,29730311,12.22,San Antonio,3,2,5,34,F,8/15/2021
1094,2021,Illinois,12569321,10.78,Chicago,0,4,4,8,A,8/15/2021
1095,2021,Indiana,6805663,14.71,Indianapolis,1,3,4,28,D,8/14/2021
1096,2021,New York,19299981,4.03,Brooklyn,0,4,4,4,A,8/14/2021
1097,2021,Ohio,11714618,13.05,Akron,0,5,5,24,D,8/14/2021
1098,2021,Indiana,6805663,14.71,Indianapolis,1,4,5,28,D,8/14/2021
1099,2021,New Jersey,8874520,4.75,Trenton,0,4,4,2,A,8/14/2021
1100,2021,Texas,29730311,12.22,Wichita Falls,0,4,4,34,F,8/14/2021
1101,2021,Nevada,3185786,17.84,Las Vegas,1,6,7,15,C,8/13/2021
1102,2021,Pennsylvania,12804123,12.47,Philadelphia,1,4,5,12,C,8/11/2021
1103,2021,Oregon,4289439,11.68,Portland,2,4,6,15,C,8/10/2021
1104,2021,Mississippi,2966407,22.81,Clarksdale,2,2,4,50,F,8/10/2021
1105,2021,Michigan,9992427,12.82,Flint,2,4,6,19,C,8/9/2021
1106,2021,Massachusetts,6912239,3.46,Boston,1,5,6,7,A,8/9/2021
1107,2021,New York,19299981,4.03,Brooklyn,3,2,5,4,A,8/8/2021
1108,2021,Illinois,12569321,10.78,Chicago,1,6,7,8,A,8/8/2021
1109,2021,Illinois,12569321,10.78,Chicago,1,4,5,8,A,8/8/2021
1110,2021,Texas,29730311,12.22,Houston,1,5,6,34,F,8/8/2021
1111,2021,District of Columbia,714153,,Washington,0,4,4,,,8/8/2021
1112,2021,Louisiana,4627002,21.31,New Orleans,0,5,5,32,F,8/8/2021
1113,2021,Alabama,4934193,21.7,Montgomery,0,4,4,38,F,8/7/2021
1114,2021,Illinois,12569321,10.78,Chicago,0,4,4,8,A,8/7/2021
1115,2021,Virginia,8603985,11.76,Norfolk,0,4,4,26,D,8/7/2021
1116,2021,Tennessee,6944260,17.82,Nashville,0,4,4,29,D,8/6/2021
1117,2021,Pennsylvania,12804123,12.47,Philadelphia,0,4,4,12,C,8/4/2021
1118,2021,Illinois,12569321,10.78,Urbana,1,3,4,8,A,8/3/2021
1119,2021,South Carolina,5277830,17.51,Greenwood,3,1,4,31,F,8/2/2021
1120,2021,South Carolina,5277830,17.51,Columbia,0,9,9,31,F,8/2/2021
1121,2021,Louisiana,4627002,21.31,New Orleans,1,3,4,32,F,8/1/2021
1122,2021,Texas,29730311,12.22,Nacogdoches,1,3,4,34,F,8/1/2021
1123,2021,Rhode Island,1061509,3.28,Providence,0,5,5,9,B,8/1/2021
1124,2021,Louisiana,4627002,21.31,New Orleans,0,5,5,32,F,8/1/2021
1125,2021,Ohio,11714618,13.05,Columbus,1,5,6,24,D,7/31/2021
1126,2021,Illinois,12569321,10.78,Chicago,1,3,4,8,A,7/31/2021
1127,2021,Indiana,6805663,14.71,Indianapolis,0,5,5,28,D,7/31/2021
1128,2021,Michigan,9992427,12.82,Saginaw,2,2,4,19,C,7/31/2021
1129,2021,New York,19299981,4.03,Corona (Queens),0,10,10,4,A,7/31/2021
1130,2021,Ohio,11714618,13.05,Cleveland,0,5,5,24,D,7/31/2021
1131,2021,Kentucky,4480713,16.81,Lexington,0,5,5,46,F,7/31/2021
1132,2021,Iowa,3167974,8.62,Davenport,0,4,4,19,C,7/29/2021
1133,2021,Pennsylvania,12804123,12.47,Pittsburgh,3,2,5,12,C,7/29/2021
1134,2021,District of Columbia,714153,,Washington,0,4,4,,,7/28/2021
1135,2021,Alabama,4934193,21.7,Montgomery,1,3,4,38,F,7/28/2021
1136,2021,South Carolina,5277830,17.51,Charleston,1,4,5,31,F,7/28/2021
1137,2021,Michigan,9992427,12.82,Detroit,0,6,6,19,C,7/25/2021
1138,2021,California,39613493,7.45,Wasco,5,1,6,1,A,7/25/2021
1139,2021,Illinois,12569321,10.78,Chicago,0,5,5,8,A,7/25/2021
1140,2021,Washington,7796941,10.32,Seattle,2,3,5,10,B,7/25/2021
1141,2021,Ohio,11714618,13.05,Columbus,0,4,4,24,D,7/24/2021
1142,2021,Texas,29730311,12.22,Amarillo,0,6,6,34,F,7/24/2021
1143,2021,Georgia,10830007,15.72,Macon,2,3,5,32,F,7/24/2021
1144,2021,South Carolina,5277830,17.51,Spartanburg,2,2,4,31,F,7/23/2021
1145,2021,South Carolina,5277830,17.51,Darlington,0,4,4,31,F,7/23/2021
1146,2021,California,39613493,7.45,San Rafael,2,4,6,1,A,7/23/2021
1147,2021,Texas,29730311,12.22,Houston,1,5,6,34,F,7/22/2021
1148,2021,Illinois,12569321,10.78,Chicago,0,5,5,8,A,7/21/2021
1149,2021,Maryland,6065436,11.61,Hyattsville (Adelphi),1,4,5,6,A,7/21/2021
1150,2021,Illinois,12569321,10.78,Chicago,0,8,8,8,A,7/21/2021
1151,2021,Illinois,12569321,10.78,Chicago,2,3,5,8,A,7/21/2021
1152,2021,Texas,29730311,12.22,Jacksonville,4,0,4,34,F,7/20/2021
1153,2021,New Jersey,8874520,4.75,Perth Amboy,0,6,6,2,A,7/19/2021
1154,2021,Illinois,12569321,10.78,Chicago,0,4,4,8,A,7/19/2021
1155,2021,Ohio,11714618,13.05,Toledo,1,3,4,24,D,7/18/2021
1156,2021,Florida,21944577,12.81,Gainesville,1,4,5,22,C,7/18/2021
1157,2021,North Carolina,10701022,13.26,Burlington,0,4,4,24,D,7/18/2021
1158,2021,Arizona,7520103,15.29,Tucson,4,3,7,45,F,7/18/2021
1159,2021,Texas,29730311,12.22,Houston,3,2,5,34,F,7/18/2021
1160,2021,California,39613493,7.45,Walnut Creek,1,3,4,1,A,7/18/2021
1161,2021,Oregon,4289439,11.68,Portland,1,6,7,15,C,7/17/2021
1162,2021,Illinois,12569321,10.78,Chicago,0,6,6,8,A,7/17/2021
1163,2021,Pennsylvania,12804123,12.47,Philadelphia,1,4,5,12,C,7/16/2021
1164,2021,California,39613493,7.45,Sacramento,2,4,6,1,A,7/16/2021
1165,2021,New Hampshire,1372203,10.66,Manchester,0,4,4,30,F,7/16/2021
1166,2021,South Carolina,5277830,17.51,Greenville,1,3,4,31,F,7/16/2021
1167,2021,District of Columbia,714153,,Washington,1,5,6,,,7/16/2021
1168,2021,Illinois,12569321,10.78,Chicago,1,4,5,8,A,7/16/2021
1169,2021,Texas,29730311,12.22,Levelland,1,5,6,34,F,7/15/2021
1170,2021,Massachusetts,6912239,3.46,Boston,0,4,4,7,A,7/15/2021
1171,2021,Missouri,6169038,21.34,Lake Ozark,1,4,5,46,F,7/15/2021
1172,2021,Illinois,12569321,10.78,Chicago,0,5,5,8,A,7/14/2021
1173,2021,Illinois,12569321,10.78,Chicago,0,5,5,8,A,7/14/2021
